(eps=0.0, alpha=2.000000000000001e-06, tol=0.18): Ein=1.8939454457659437, Eval=2.063665273988215
(eps=0.0, alpha=2.000000000000001e-06, tol=0.19): Ein=1.8939454457659437, Eval=2.063665273988215
(eps=0.0, alpha=3.000000000000001e-06, tol=0.0): Ein=1.8021500503109553, Eval=2.181962446424313
(eps=0.0, alpha=3.000000000000001e-06, tol=0.010000000000000009): Ein=1.8654591874153135, Eval=2.0808572160922876
(eps=0.0, alpha=3.000000000000001e-06, tol=0.020000000000000004): Ein=1.8790262372578335, Eval=2.0683464638319338
(eps=0.0, alpha=3.000000000000001e-06, tol=0.03): Ein=1.8862905842417672, Eval=2.0649342549351966
(eps=0.0, alpha=3.000000000000001e-06, tol=0.04000000000000001): Ein=1.8862905842417672, Eval=2.0649342549351966
(eps=0.0, alpha=3.000000000000001e-06, tol=0.05): Ein=1.8862905842417672, Eval=2.0649342549351966
(eps=0.0, alpha=3.000000000000001e-06, tol=0.060000000000000005): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.07): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.08): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.09000000000000001): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.1): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.11): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.12000000000000001): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.13): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.14): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.15000000000000002): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.16): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.17): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.18): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=3.000000000000001e-06, tol=0.19): Ein=1.8939034169998996, Eval=2.0637012864992683
(eps=0.0, alpha=4.000000000000001e-06, tol=0.0): Ein=1.8021665565456113, Eval=2.182024138463108
(eps=0.0, alpha=4.000000000000001e-06, tol=0.010000000000000009): Ein=1.8654652262966438, Eval=2.08090178737824
(eps=0.0, alpha=4.000000000000001e-06, tol=0.020000000000000004): Ein=1.8790323784159504, Eval=2.0684851906085053
(eps=0.0, alpha=4.000000000000001e-06, tol=0.03): Ein=1.8862742175909961, Eval=2.0650246128846295
(eps=0.0, alpha=4.000000000000001e-06, tol=0.04000000000000001): Ein=1.8862742175909961, Eval=2.0650246128846295
(eps=0.0, alpha=4.000000000000001e-06, tol=0.05): Ein=1.8862742175909961, Eval=2.0650246128846295
(eps=0.0, alpha=4.000000000000001e-06, tol=0.060000000000000005): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.07): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.08): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.09000000000000001): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.1): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.11): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.12000000000000001): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.13): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.14): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.15000000000000002): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.16): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.17): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.18): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=4.000000000000001e-06, tol=0.19): Ein=1.893953370046376, Eval=2.0635251290948355
(eps=0.0, alpha=5e-06, tol=0.0): Ein=1.8021684764042303, Eval=2.182104002940605
(eps=0.0, alpha=5e-06, tol=0.010000000000000009): Ein=1.8655027487845899, Eval=2.0808760529666666
(eps=0.0, alpha=5e-06, tol=0.020000000000000004): Ein=1.8790390155200718, Eval=2.0685474847030294
(eps=0.0, alpha=5e-06, tol=0.03): Ein=1.8863193744094642, Eval=2.0649756034741107
(eps=0.0, alpha=5e-06, tol=0.04000000000000001): Ein=1.8863193744094642, Eval=2.0649756034741107
(eps=0.0, alpha=5e-06, tol=0.05): Ein=1.8863193744094642, Eval=2.0649756034741107
(eps=0.0, alpha=5e-06, tol=0.060000000000000005): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.07): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.08): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.09000000000000001): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.1): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.11): Ein=1.8938830330043575, Eval=2.0636128591446763
(eps=0.0, alpha=5e-06, tol=0.12000000000000001): Ein=1.8938830330043575, Eval=2.0636128591446763
